@relation compiledtraffic
@attribute Time numeric
@attribute isbA numeric
@attribute isbB numeric
@attribute isbC numeric
@attribute vsbA numeric
@attribute vsbB numeric
@attribute vsbC numeric
@attribute isbARmsValue numeric
@attribute isbBRmsValue numeric
@attribute isbCRmsValue numeric
@attribute vsbARmsValue numeric
@attribute vsbBRmsValue numeric
@attribute vsbCRmsValue numeric
@attribute isbATrapAreaSum numeric
@attribute isbBTrapAreaSum numeric
@attribute isbCTrapAreaSum numeric
@attribute vsbATrapAreaSum numeric
@attribute vsbBTrapAreaSum numeric
@attribute vsbCTrapAreaSum numeric
@attribute t numeric
@attribute GooseTimestamp numeric
@attribute SqNum numeric
@attribute StNum numeric
@attribute cbStatus numeric
@attribute frameLen numeric
@attribute ethDst {01:a0:f4:08:2f:77, FF:FF:FF:FF:FF:11, FF:FF:FF:FF:FF:22, FF:FF:FF:FF:FF:33, FF:FF:FF:FF:FF:44, FF:FF:FF:FF:FF:55, FF:FF:FF:FF:FF:66, FF:FF:FF:FF:FF:FF, FF:FF:FF:FF:FF:77, FF:FF:FF:FF:FF:AA, FF:FF:FF:FF:FF:BB, FF:FF:FF:FF:FF:CC, FF:FF:FF:FF:FF:DD, FF:FF:FF:FF:FF:EE, FF:FF:FF:FF:FF:AB, FF:FF:FF:FF:FF:AC, 01:0c:cd:01:2f:81}
@attribute ethSrc {00:a0:f4:08:2f:77, FF:FF:FF:FF:FF:11, FF:FF:FF:FF:FF:22, FF:FF:FF:FF:FF:33, FF:FF:FF:FF:FF:44, FF:FF:FF:FF:FF:55, FF:FF:FF:FF:FF:66, FF:FF:FF:FF:FF:FF, FF:FF:FF:FF:FF:77, FF:FF:FF:FF:FF:AA, FF:FF:FF:FF:FF:BB, FF:FF:FF:FF:FF:CC, FF:FF:FF:FF:FF:DD, FF:FF:FF:FF:FF:EE, FF:FF:FF:FF:FF:AB, FF:FF:FF:FF:FF:AC, 01:0c:cd:01:2f:80}
@attribute ethType {0x000077b7, 0x000088b8, 0x88B8}
@attribute gooseTimeAllowedtoLive numeric
@attribute gooseAppid {0x00003002, 0x00003001}
@attribute gooseLen numeric
@attribute TPID {0x7101, 0x8100}
@attribute gocbRef {LD/LLN0$IntLockB, LD/LLN0$GO$gcbA, LD/LLN0$GO$gcblA}
@attribute datSet {LD/LLN0$IntLockA, AA1C1Q01A1LD0/LLN0$InterlockingC}
@attribute goID {InterlockingF, InterlockingA, IntLockA}
@attribute test {TRUE, FALSE}
@attribute confRev numeric
@attribute ndsCom {TRUE, FALSE}
@attribute numDatSetEntries numeric
@attribute APDUSize numeric
@attribute protocol {SV, GOOSE}
@attribute stDiff numeric
@attribute sqDiff numeric
@attribute gooseLengthDiff numeric
@attribute cbStatusDiff numeric
@attribute apduSizeDiff numeric
@attribute frameLengthDiff numeric
@attribute timestampDiff numeric
@attribute tDiff numeric
@attribute timeFromLastChange numeric
@attribute delay numeric
@attribute class {normal, random_replay, inverse_replay, masquerade_fake_fault, masquerade_fake_normal, injection, high_StNum, poisoned_high_rate}
@data
3299.6926,0.021201896,-0.051682893,0.029320313,-0.09132076,0.013585657,0.07766818,0.0582532360629339,0.0479816218497558,0.0619240429847705,0.067033294396675,0.0677581956323448,0.0677018443496204,-38.67878141789697,-39.94973720561029,-39.94635253911838,-39.47616354434285,-39.501171525917016,-39.523172258603154,3220.60631,3299.951570667709,83,301,0,200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8,11000, 0x00003001,186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE,1, FALSE,25,186, GOOSE,204,5,0,1,0,0,0.0263671941547727,-178.67754164222515,79.34526066770877,0.2589437145838928,normal
1222.5393,-0.17735375,-0.07346534,0.08422715,-0.055937115,0.0953986,-0.030746043,0.2852297778362545,0.0484886222553097,0.065519443314816,0.0651236076676428,0.0657453115031503,0.0692003739165588,-37.94670449569821,-40.21808592996968,-40.19030557648512,-39.43331264029257,-39.56149932328845,-39.5127226949844,1222.50631,1222.53931,4,164,1,200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8,11000, 0x00003001,186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE,1, FALSE,25,186, GOOSE,0,0,0,0,0,0,0.0,0.0,0.0329999999999017,3.35937488671334e-06,normal
726.1522,-0.06769258,0.05152517,0.014896108,0.06207407,0.03257646,-0.0946284,0.0520441686037657,0.0588713675798687,0.0578713700956423,0.0676699565704778,0.0680714831197729,0.067625873847861,-39.164684653515,-39.71966522373259,-39.61596287047723,-39.5483350858558,-39.49066710355692,-39.46102386791608,726.60631,726.60631,1,99,0,200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8,11000, 0x00003001,186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE,1, FALSE,25,186, GOOSE,1,-3,0,1,0,0,0.0670000000000072,0.1000000000000227,0.0,0.4540883203125077,normal
2730.573,-0.00012851642,0.00012364048,-1.5479038e-06,0.016679876,0.0004614736,-0.0086512305,9.283545407342726e-05,9.938425187715784e-05,9.527603526202694e-05,0.0344331662340643,0.0040026952480097,0.0062485744274899,-39.50056969549792,-39.50015096651941,-39.49966247442171,-39.34776057500858,-39.426521681170016,-39.4901849408252,2667.60631,2730.733545192919,67,249,0,200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8,11000, 0x00003001,186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE,1, FALSE,25,186, GOOSE,0,1,0,0,0,0,0.0927105014698099,0.0,63.12723519291876,0.1605471460438821,normal
5654.187,-0.06346773,0.0019422381,0.05935902,0.008338959,0.07762793,-0.085956894,0.0527000777190676,0.05861648236553,0.0562258983857698,0.0682015795421953,0.0681091646561833,0.0680971269376391,-39.35715876068571,-39.52282423141878,-39.6202707188786,-39.50227137521142,-39.51098191109486,-39.48673818062525,5654.60631,5654.63931,4,623,0,200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8,11000, 0x00003001,186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE,1, FALSE,25,186, GOOSE,0,0,0,0,0,0,0.0,0.0,0.032999999999447,0.4522982812495684,normal
2093.5393,-0.6786279,1.2563363,0.08882834,-0.051909618,0.09677834,-0.031024843,0.8686170791869228,0.8459279244500192,0.0636484720996526,0.0648117033716329,0.0647668171844596,0.0692038932522895,-38.19380765594542,-40.30113084567711,-40.14763352554292,-39.41534558367857,-39.58416700031376,-39.50560700835194,2093.50631,2093.53931,4,238,1,200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8,11000, 0x00003001,186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE,1, FALSE,25,186, GOOSE,0,0,0,0,0,0,0.0,0.0,0.0329999999999017,3.3593751140870154e-06,normal
1823.3826,-0.020474022,0.07572149,-0.054086417,0.094527476,-0.06553918,-0.028969469,0.0494947909178785,0.0534967821233397,0.053064920417084,0.0676327860409956,0.0678096218352781,0.0679458594515756,-39.45874628337333,-39.60720346765447,-39.43441384262405,-39.53722376673977,-39.47430224392883,-39.48848347080639,1735.60631,1824.2524550215185,92,215,0,200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8,11000, 0x00003001,186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE,1, FALSE,25,186, GOOSE,-53946,10,0,1,0,0,0.0591060202641529,-187.94568716992603,88.64614502151858,0.8698866621434718,normal
5976.5103,-0.06041843,0.014005019,0.29311293,-0.07239473,-0.011106274,0.08559073,0.0502773413169658,0.1735313118381376,0.2082811033040713,0.0645349593725963,0.0662146975874889,0.0642258921364781,-39.01956496486673,-29.445474058389664,-48.92622637515888,-39.3536772307707,-39.53439288983645,-39.64666108868551,5976.50631,5976.51031,2,578,1,200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8,11000, 0x00003001,186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE,1, FALSE,25,186, GOOSE,0,1,0,0,0,0,0.0039999999999054,0.0,0.0039999999999054,5.609374966297764e-05,normal
3935.196,0.057119407,0.00667387,-0.061357215,0.014504698,-0.0911327,0.07661939,0.0492275929205923,0.0556888653808921,0.0541567260048986,0.0677782604325038,0.0674120037715416,0.0675009885348281,-39.83590467477916,-39.33889007149264,-39.32786839338951,-39.50631454004906,-39.454680211201776,-39.538983777631074,3908.60631,3935.196214821978,31,363,0,200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8,11000, 0x00003001,186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE,1, FALSE,25,186, GOOSE,-68,24,0,0,0,0,0.3806061798682094,-24.0,26.58990482197805,0.0001699001031738,normal
1414.2968,0.042013373,0.03173921,-0.07135545,0.035841856,-0.095743485,0.059899263,0.0486753289759595,0.0538699622745356,0.0528354650728596,0.0679102016294418,0.0676110665086772,0.0677881584112392,-39.6390927056782,-39.3405537296203,-39.52176160522504,-39.51029702118831,-39.46165095534525,-39.52804446924711,1361.60631,1414.5285202088107,57,185,0,200, 01:0c:cd:01:2f:81, 01:0c:cd:01:2f:80, 0x88B8,11000, 0x00003001,186, 0x8100, LD/LLN0$GO$gcblA, LD/LLN0$IntLockA, IntLockA, FALSE,1, FALSE,25,186, GOOSE,155,39,0,1,0,0,0.0741199656047228,-39.40000000000009,52.92221020881084,0.2317672791232325,normal
