Id_Sample,AdviceResult,TrueResult,Metric,SendedBy
0,0.0,0.0,VN,IDS 3
37,0.0,0.0,VN,IDS 1
38,0.0,0.0,VN,IDS 3
40,0.0,0.0,VN,IDS 3
41,0.0,0.0,VN,IDS 1
43,0.0,0.0,VN,IDS 3
45,0.0,0.0,VN,IDS 1
46,0.0,0.0,VN,IDS 1
47,0.0,0.0,VN,IDS 1
49,0.0,0.0,VN,IDS 1
54,0.0,0.0,VN,IDS 1
55,0.0,0.0,VN,IDS 1
56,0.0,0.0,VN,IDS 1
58,1.0,0.0,FP,IDS 1
59,0.0,0.0,VN,IDS 1
60,0.0,0.0,VN,IDS 1
61,0.0,0.0,VN,IDS 1
64,0.0,0.0,VN,IDS 1
65,0.0,0.0,VN,IDS 1
66,0.0,0.0,VN,IDS 1
67,0.0,0.0,VN,IDS 1
74,0.0,0.0,VN,IDS 1
75,0.0,0.0,VN,IDS 1
184,0.0,0.0,VN,IDS 3
185,0.0,0.0,VN,IDS 1
187,0.0,0.0,VN,IDS 3
191,0.0,0.0,VN,IDS 3
195,0.0,0.0,VN,IDS 3
196,0.0,0.0,VN,IDS 3
197,0.0,0.0,VN,IDS 3
199,0.0,0.0,VN,IDS 1
200,0.0,0.0,VN,IDS 3
201,0.0,0.0,VN,IDS 1
203,0.0,0.0,VN,IDS 1
204,0.0,0.0,VN,IDS 3
205,0.0,0.0,VN,IDS 1
207,0.0,0.0,VN,IDS 3
208,0.0,0.0,VN,IDS 1
209,0.0,0.0,VN,IDS 1
211,0.0,0.0,VN,IDS 1
213,0.0,0.0,VN,IDS 1
214,0.0,0.0,VN,IDS 1
216,0.0,0.0,VN,IDS 3
218,0.0,0.0,VN,IDS 3
219,0.0,0.0,VN,IDS 1
221,0.0,0.0,VN,IDS 1
222,0.0,0.0,VN,IDS 1
227,0.0,0.0,VN,IDS 1
228,0.0,0.0,VN,IDS 1
230,0.0,0.0,VN,IDS 3
231,0.0,0.0,VN,IDS 1
232,1.0,0.0,FP,IDS 3
234,0.0,0.0,VN,IDS 3
235,0.0,0.0,VN,IDS 1
236,0.0,0.0,VN,IDS 3
239,0.0,0.0,VN,IDS 1
241,0.0,0.0,VN,IDS 1
242,0.0,0.0,VN,IDS 3
243,0.0,0.0,VN,IDS 3
249,0.0,0.0,VN,IDS 1
250,4.0,0.0,FP,IDS 3
289,0.0,0.0,VN,IDS 3
291,0.0,0.0,VN,IDS 3
292,0.0,0.0,VN,IDS 1
293,0.0,0.0,VN,IDS 1
244,0.0,0.0,VN,IDS 3
245,0.0,0.0,VN,IDS 3
247,0.0,0.0,VN,IDS 3
248,0.0,0.0,VN,IDS 3
294,0.0,0.0,VN,IDS 1
295,2.0,0.0,FP,IDS 3
297,0.0,0.0,VN,IDS 3
298,0.0,0.0,VN,IDS 1
299,0.0,0.0,VN,IDS 3
300,0.0,0.0,VN,IDS 3
301,0.0,0.0,VN,IDS 3
302,0.0,0.0,VN,IDS 3
303,0.0,0.0,VN,IDS 3
306,0.0,0.0,VN,IDS 1
308,0.0,0.0,VN,IDS 3
309,0.0,0.0,VN,IDS 1
310,0.0,0.0,VN,IDS 3
311,0.0,0.0,VN,IDS 3
313,1.0,0.0,FP,IDS 1
314,0.0,0.0,VN,IDS 1
315,0.0,0.0,VN,IDS 3
360,0.0,0.0,VN,IDS 3
361,0.0,0.0,VN,IDS 3
363,0.0,0.0,VN,IDS 3
365,0.0,0.0,VN,IDS 3
366,0.0,0.0,VN,IDS 3
367,0.0,0.0,VN,IDS 1
369,0.0,0.0,VN,IDS 3
370,0.0,0.0,VN,IDS 3
371,0.0,0.0,VN,IDS 1
373,0.0,0.0,VN,IDS 3
374,0.0,0.0,VN,IDS 3
375,0.0,0.0,VN,IDS 3
376,1.0,0.0,FP,IDS 3
690,0.0,0.0,VN,IDS 1
692,0.0,0.0,VN,IDS 3
693,0.0,0.0,VN,IDS 1
697,0.0,0.0,VN,IDS 1
698,0.0,0.0,VN,IDS 1
700,0.0,0.0,VN,IDS 3
702,0.0,0.0,VN,IDS 1
705,0.0,0.0,VN,IDS 3
706,0.0,0.0,VN,IDS 1
709,4.0,0.0,FP,IDS 1
378,0.0,0.0,VN,IDS 1
379,0.0,0.0,VN,IDS 3
381,0.0,0.0,VN,IDS 1
382,0.0,0.0,VN,IDS 1
710,0.0,0.0,VN,IDS 1
711,0.0,0.0,VN,IDS 1
712,0.0,0.0,VN,IDS 1
385,0.0,0.0,VN,IDS 1
386,0.0,0.0,VN,IDS 3
389,0.0,0.0,VN,IDS 1
390,0.0,0.0,VN,IDS 3
391,0.0,0.0,VN,IDS 3
417,0.0,0.0,VN,IDS 3
418,0.0,0.0,VN,IDS 3
421,0.0,0.0,VN,IDS 1
422,0.0,0.0,VN,IDS 3
423,0.0,0.0,VN,IDS 1
424,0.0,0.0,VN,IDS 1
426,0.0,0.0,VN,IDS 3
427,0.0,0.0,VN,IDS 3
431,0.0,0.0,VN,IDS 3
432,0.0,0.0,VN,IDS 1
434,0.0,0.0,VN,IDS 1
435,0.0,0.0,VN,IDS 3
436,0.0,0.0,VN,IDS 1
438,0.0,0.0,VN,IDS 1
439,0.0,0.0,VN,IDS 3
441,0.0,0.0,VN,IDS 3
442,0.0,0.0,VN,IDS 1
444,0.0,0.0,VN,IDS 1
445,0.0,0.0,VN,IDS 1
447,0.0,0.0,VN,IDS 1
449,0.0,0.0,VN,IDS 1
451,0.0,0.0,VN,IDS 1
452,0.0,0.0,VN,IDS 1
454,0.0,0.0,VN,IDS 3
456,0.0,0.0,VN,IDS 3
457,0.0,0.0,VN,IDS 3
459,0.0,0.0,VN,IDS 3
461,0.0,0.0,VN,IDS 1
463,0.0,0.0,VN,IDS 1
466,0.0,0.0,VN,IDS 1
467,0.0,0.0,VN,IDS 3
468,0.0,0.0,VN,IDS 3
469,0.0,0.0,VN,IDS 3
470,0.0,0.0,VN,IDS 1
579,0.0,0.0,VN,IDS 3
580,0.0,0.0,VN,IDS 1
581,0.0,0.0,VN,IDS 3
582,0.0,0.0,VN,IDS 3
583,0.0,0.0,VN,IDS 1
584,0.0,0.0,VN,IDS 3
589,0.0,0.0,VN,IDS 3
593,0.0,0.0,VN,IDS 1
596,0.0,0.0,VN,IDS 3
597,1.0,0.0,FP,IDS 3
599,0.0,0.0,VN,IDS 3
600,0.0,0.0,VN,IDS 3
603,0.0,0.0,VN,IDS 3
604,0.0,0.0,VN,IDS 3
606,0.0,0.0,VN,IDS 1
608,0.0,0.0,VN,IDS 3
609,0.0,0.0,VN,IDS 3
610,0.0,0.0,VN,IDS 1
611,0.0,0.0,VN,IDS 1
612,0.0,0.0,VN,IDS 3
614,0.0,0.0,VN,IDS 3
615,0.0,0.0,VN,IDS 3
687,0.0,0.0,VN,IDS 1
688,0.0,0.0,VN,IDS 3
713,0.0,0.0,VN,IDS 3
714,0.0,0.0,VN,IDS 1
715,0.0,0.0,VN,IDS 1
716,0.0,0.0,VN,IDS 1
717,0.0,0.0,VN,IDS 1
718,0.0,0.0,VN,IDS 3
751,0.0,0.0,VN,IDS 3
752,0.0,0.0,VN,IDS 3
753,0.0,0.0,VN,IDS 3
754,0.0,0.0,VN,IDS 3
757,0.0,0.0,VN,IDS 1
758,0.0,0.0,VN,IDS 3
759,0.0,0.0,VN,IDS 3
761,0.0,0.0,VN,IDS 1
765,0.0,0.0,VN,IDS 1
766,0.0,0.0,VN,IDS 1
767,0.0,0.0,VN,IDS 1
768,0.0,0.0,VN,IDS 1
770,0.0,0.0,VN,IDS 3
771,0.0,0.0,VN,IDS 1
772,0.0,0.0,VN,IDS 1
773,0.0,0.0,VN,IDS 1
774,0.0,0.0,VN,IDS 3
775,0.0,0.0,VN,IDS 1
776,4.0,0.0,FP,IDS 3
777,0.0,0.0,VN,IDS 3
778,0.0,0.0,VN,IDS 3
813,0.0,0.0,VN,IDS 1
815,0.0,0.0,VN,IDS 3
816,0.0,0.0,VN,IDS 1
819,0.0,0.0,VN,IDS 1
821,0.0,0.0,VN,IDS 3
823,0.0,0.0,VN,IDS 1
824,0.0,0.0,VN,IDS 1
826,0.0,0.0,VN,IDS 3
827,0.0,0.0,VN,IDS 3
1185,0.0,0.0,VN,IDS 3
1186,0.0,0.0,VN,IDS 1
1187,1.0,0.0,FP,IDS 3
1190,0.0,0.0,VN,IDS 1
1193,0.0,0.0,VN,IDS 3
1195,0.0,0.0,VN,IDS 1
1196,0.0,0.0,VN,IDS 3
1197,0.0,0.0,VN,IDS 3
1200,0.0,0.0,VN,IDS 1
846,0.0,0.0,VN,IDS 1
854,0.0,0.0,VN,IDS 3
855,0.0,0.0,VN,IDS 1
856,0.0,0.0,VN,IDS 1
857,0.0,0.0,VN,IDS 1
858,0.0,0.0,VN,IDS 3
891,0.0,0.0,VN,IDS 3
895,0.0,0.0,VN,IDS 3
896,0.0,0.0,VN,IDS 1
897,0.0,0.0,VN,IDS 3
899,0.0,0.0,VN,IDS 3
900,0.0,0.0,VN,IDS 3
903,0.0,0.0,VN,IDS 3
906,0.0,0.0,VN,IDS 3
