Id_Sample,ClassifiersResult,TrueResult,Metric
0,0.0,0.0,VN
1,0.0,0.0,VN
2,0.0,0.0,VN
3,0.0,0.0,VN
4,0.0,0.0,VN
5,0.0,0.0,VN
6,0.0,0.0,VN
7,0.0,0.0,VN
8,0.0,0.0,VN
9,0.0,0.0,VN
10,0.0,0.0,VN
11,0.0,0.0,VN
12,0.0,0.0,VN
13,0.0,0.0,VN
14,0.0,0.0,VN
15,0.0,0.0,VN
16,0.0,0.0,VN
17,0.0,0.0,VN
18,0.0,0.0,VN
19,0.0,0.0,VN
20,0.0,0.0,VN
21,0.0,0.0,VN
22,0.0,0.0,VN
23,0.0,0.0,VN
24,0.0,0.0,VN
25,0.0,0.0,VN
27,0.0,0.0,VN
28,0.0,0.0,VN
29,0.0,0.0,VN
30,0.0,0.0,VN
31,0.0,0.0,VN
32,1.0,0.0,FP
33,0.0,0.0,VN
34,0.0,0.0,VN
35,0.0,0.0,VN
36,0.0,0.0,VN
37,0.0,0.0,VN
38,0.0,0.0,VN
39,0.0,0.0,VN
40,0.0,0.0,VN
41,0.0,0.0,VN
42,0.0,0.0,VN
43,0.0,0.0,VN
44,0.0,0.0,VN
45,0.0,0.0,VN
46,0.0,0.0,VN
47,0.0,0.0,VN
48,0.0,0.0,VN
49,0.0,0.0,VN
50,0.0,0.0,VN
51,0.0,0.0,VN
52,0.0,0.0,VN
53,0.0,0.0,VN
54,0.0,0.0,VN
55,0.0,0.0,VN
56,0.0,0.0,VN
57,0.0,0.0,VN
58,1.0,0.0,FP
59,0.0,0.0,VN
60,0.0,0.0,VN
61,0.0,0.0,VN
62,0.0,0.0,VN
63,0.0,0.0,VN
64,0.0,0.0,VN
65,0.0,0.0,VN
66,0.0,0.0,VN
67,0.0,0.0,VN
68,1.0,0.0,FP
69,0.0,0.0,VN
70,0.0,0.0,VN
71,0.0,0.0,VN
72,0.0,0.0,VN
73,0.0,0.0,VN
74,0.0,0.0,VN
75,0.0,0.0,VN
76,0.0,0.0,VN
77,0.0,0.0,VN
78,0.0,0.0,VN
79,0.0,0.0,VN
80,0.0,0.0,VN
81,0.0,0.0,VN
82,0.0,0.0,VN
83,0.0,0.0,VN
84,0.0,0.0,VN
85,0.0,0.0,VN
86,0.0,0.0,VN
87,0.0,0.0,VN
88,0.0,0.0,VN
89,0.0,0.0,VN
90,0.0,0.0,VN
91,0.0,0.0,VN
92,0.0,0.0,VN
93,0.0,0.0,VN
94,0.0,0.0,VN
95,0.0,0.0,VN
96,0.0,0.0,VN
97,1.0,0.0,FP
98,0.0,0.0,VN
99,0.0,0.0,VN
100,0.0,0.0,VN
101,0.0,0.0,VN
102,0.0,0.0,VN
103,0.0,0.0,VN
104,0.0,0.0,VN
105,0.0,0.0,VN
106,0.0,0.0,VN
107,0.0,0.0,VN
108,0.0,0.0,VN
109,0.0,0.0,VN
110,0.0,0.0,VN
111,0.0,0.0,VN
112,0.0,0.0,VN
113,1.0,0.0,FP
114,0.0,0.0,VN
115,0.0,0.0,VN
116,0.0,0.0,VN
117,0.0,0.0,VN
118,0.0,0.0,VN
119,0.0,0.0,VN
120,0.0,0.0,VN
121,0.0,0.0,VN
122,0.0,0.0,VN
123,0.0,0.0,VN
124,0.0,0.0,VN
125,0.0,0.0,VN
126,0.0,0.0,VN
127,0.0,0.0,VN
128,0.0,0.0,VN
129,0.0,0.0,VN
130,0.0,0.0,VN
131,0.0,0.0,VN
132,0.0,0.0,VN
133,0.0,0.0,VN
134,0.0,0.0,VN
135,0.0,0.0,VN
136,0.0,0.0,VN
137,1.0,0.0,FP
138,0.0,0.0,VN
139,0.0,0.0,VN
140,0.0,0.0,VN
141,0.0,0.0,VN
142,0.0,0.0,VN
143,0.0,0.0,VN
144,0.0,0.0,VN
145,0.0,0.0,VN
146,0.0,0.0,VN
147,0.0,0.0,VN
148,0.0,0.0,VN
149,0.0,0.0,VN
150,0.0,0.0,VN
151,0.0,0.0,VN
152,0.0,0.0,VN
153,0.0,0.0,VN
154,0.0,0.0,VN
155,0.0,0.0,VN
156,0.0,0.0,VN
157,0.0,0.0,VN
158,0.0,0.0,VN
159,0.0,0.0,VN
160,0.0,0.0,VN
161,0.0,0.0,VN
162,0.0,0.0,VN
163,0.0,0.0,VN
164,0.0,0.0,VN
165,0.0,0.0,VN
166,0.0,0.0,VN
167,0.0,0.0,VN
168,0.0,0.0,VN
169,0.0,0.0,VN
170,0.0,0.0,VN
171,0.0,0.0,VN
172,0.0,0.0,VN
173,0.0,0.0,VN
174,0.0,0.0,VN
175,0.0,0.0,VN
176,0.0,0.0,VN
177,0.0,0.0,VN
179,0.0,0.0,VN
180,0.0,0.0,VN
181,0.0,0.0,VN
182,0.0,0.0,VN
183,0.0,0.0,VN
184,0.0,0.0,VN
185,0.0,0.0,VN
186,0.0,0.0,VN
187,0.0,0.0,VN
188,0.0,0.0,VN
189,0.0,0.0,VN
190,0.0,0.0,VN
191,0.0,0.0,VN
192,0.0,0.0,VN
194,0.0,0.0,VN
195,0.0,0.0,VN
196,0.0,0.0,VN
197,0.0,0.0,VN
198,0.0,0.0,VN
199,0.0,0.0,VN
200,0.0,0.0,VN
201,0.0,0.0,VN
