Id_Sample,ClassifiersResult,TrueResult,Metric
1,0.0,0.0,VN
3,0.0,0.0,VN
5,0.0,0.0,VN
7,0.0,0.0,VN
8,0.0,0.0,VN
9,0.0,0.0,VN
12,0.0,0.0,VN
13,0.0,0.0,VN
15,0.0,0.0,VN
16,0.0,0.0,VN
17,0.0,0.0,VN
20,0.0,0.0,VN
25,0.0,0.0,VN
26,0.0,0.0,VN
39,0.0,0.0,VN
42,0.0,0.0,VN
44,0.0,0.0,VN
48,0.0,0.0,VN
50,0.0,0.0,VN
51,0.0,0.0,VN
52,0.0,0.0,VN
53,0.0,0.0,VN
57,0.0,0.0,VN
62,0.0,0.0,VN
63,0.0,0.0,VN
68,0.0,0.0,VN
69,0.0,0.0,VN
70,0.0,0.0,VN
71,0.0,0.0,VN
72,0.0,0.0,VN
73,0.0,0.0,VN
78,0.0,0.0,VN
79,0.0,0.0,VN
81,0.0,0.0,VN
83,0.0,0.0,VN
88,0.0,0.0,VN
89,0.0,0.0,VN
93,0.0,0.0,VN
95,0.0,0.0,VN
105,0.0,0.0,VN
107,0.0,0.0,VN
120,0.0,0.0,VN
125,0.0,0.0,VN
126,0.0,0.0,VN
129,0.0,0.0,VN
131,0.0,0.0,VN
138,0.0,0.0,VN
142,0.0,0.0,VN
143,0.0,0.0,VN
144,0.0,0.0,VN
146,0.0,0.0,VN
149,0.0,0.0,VN
150,0.0,0.0,VN
151,0.0,0.0,VN
152,0.0,0.0,VN
156,0.0,0.0,VN
163,0.0,0.0,VN
165,0.0,0.0,VN
168,0.0,0.0,VN
171,0.0,0.0,VN
173,0.0,0.0,VN
175,0.0,0.0,VN
178,0.0,0.0,VN
180,0.0,0.0,VN
186,0.0,0.0,VN
188,0.0,0.0,VN
189,0.0,0.0,VN
190,0.0,0.0,VN
192,0.0,0.0,VN
193,0.0,0.0,VN
194,0.0,0.0,VN
198,0.0,0.0,VN
202,0.0,0.0,VN
206,0.0,0.0,VN
210,0.0,0.0,VN
212,0.0,0.0,VN
215,0.0,0.0,VN
217,0.0,0.0,VN
220,0.0,0.0,VN
223,0.0,0.0,VN
224,0.0,0.0,VN
225,0.0,0.0,VN
226,0.0,0.0,VN
229,0.0,0.0,VN
233,0.0,0.0,VN
237,0.0,0.0,VN
238,0.0,0.0,VN
240,0.0,0.0,VN
246,0.0,0.0,VN
257,0.0,0.0,VN
258,0.0,0.0,VN
259,0.0,0.0,VN
260,0.0,0.0,VN
264,0.0,0.0,VN
265,0.0,0.0,VN
267,0.0,0.0,VN
269,0.0,0.0,VN
274,0.0,0.0,VN
277,0.0,0.0,VN
279,0.0,0.0,VN
282,0.0,0.0,VN
283,0.0,0.0,VN
285,0.0,0.0,VN
286,0.0,0.0,VN
288,0.0,0.0,VN
290,0.0,0.0,VN
296,0.0,0.0,VN
304,0.0,0.0,VN
305,0.0,0.0,VN
307,0.0,0.0,VN
312,0.0,0.0,VN
316,0.0,0.0,VN
318,0.0,0.0,VN
323,0.0,0.0,VN
328,0.0,0.0,VN
331,0.0,0.0,VN
332,0.0,0.0,VN
333,0.0,0.0,VN
335,0.0,0.0,VN
336,0.0,0.0,VN
337,0.0,0.0,VN
338,0.0,0.0,VN
339,0.0,0.0,VN
342,0.0,0.0,VN
343,0.0,0.0,VN
346,0.0,0.0,VN
348,0.0,0.0,VN
350,0.0,0.0,VN
351,0.0,0.0,VN
352,0.0,0.0,VN
354,0.0,0.0,VN
355,0.0,0.0,VN
357,0.0,0.0,VN
359,0.0,0.0,VN
362,0.0,0.0,VN
364,0.0,0.0,VN
368,0.0,0.0,VN
372,0.0,0.0,VN
377,0.0,0.0,VN
380,0.0,0.0,VN
383,0.0,0.0,VN
384,0.0,0.0,VN
387,0.0,0.0,VN
388,0.0,0.0,VN
396,0.0,0.0,VN
401,0.0,0.0,VN
408,0.0,0.0,VN
415,0.0,0.0,VN
419,0.0,0.0,VN
420,0.0,0.0,VN
425,0.0,0.0,VN
428,0.0,0.0,VN
429,0.0,0.0,VN
430,0.0,0.0,VN
433,0.0,0.0,VN
437,0.0,0.0,VN
440,0.0,0.0,VN
443,0.0,0.0,VN
446,0.0,0.0,VN
448,0.0,0.0,VN
450,0.0,0.0,VN
453,0.0,0.0,VN
455,0.0,0.0,VN
458,0.0,0.0,VN
460,0.0,0.0,VN
462,0.0,0.0,VN
464,0.0,0.0,VN
465,0.0,0.0,VN
473,0.0,0.0,VN
477,0.0,0.0,VN
479,0.0,0.0,VN
483,0.0,0.0,VN
485,0.0,0.0,VN
486,0.0,0.0,VN
489,0.0,0.0,VN
491,0.0,0.0,VN
494,0.0,0.0,VN
496,0.0,0.0,VN
497,0.0,0.0,VN
498,0.0,0.0,VN
500,0.0,0.0,VN
508,0.0,0.0,VN
510,0.0,0.0,VN
513,0.0,0.0,VN
514,0.0,0.0,VN
516,0.0,0.0,VN
522,0.0,0.0,VN
531,0.0,0.0,VN
533,0.0,0.0,VN
538,0.0,0.0,VN
541,0.0,0.0,VN
542,0.0,0.0,VN
545,0.0,0.0,VN
549,0.0,0.0,VN
551,0.0,0.0,VN
552,0.0,0.0,VN
558,0.0,0.0,VN
562,0.0,0.0,VN
563,0.0,0.0,VN
564,0.0,0.0,VN
565,0.0,0.0,VN
566,0.0,0.0,VN
567,0.0,0.0,VN
568,0.0,0.0,VN
570,0.0,0.0,VN
571,0.0,0.0,VN
574,0.0,0.0,VN
577,0.0,0.0,VN
578,0.0,0.0,VN
585,0.0,0.0,VN
586,0.0,0.0,VN
587,0.0,0.0,VN
588,0.0,0.0,VN
590,0.0,0.0,VN
591,0.0,0.0,VN
592,0.0,0.0,VN
594,0.0,0.0,VN
595,0.0,0.0,VN
598,0.0,0.0,VN
601,0.0,0.0,VN
602,0.0,0.0,VN
605,0.0,0.0,VN
607,0.0,0.0,VN
613,0.0,0.0,VN
616,0.0,0.0,VN
619,0.0,0.0,VN
624,0.0,0.0,VN
625,0.0,0.0,VN
630,0.0,0.0,VN
631,0.0,0.0,VN
637,0.0,0.0,VN
640,0.0,0.0,VN
642,0.0,0.0,VN
644,0.0,0.0,VN
645,0.0,0.0,VN
646,0.0,0.0,VN
648,0.0,0.0,VN
650,0.0,0.0,VN
654,0.0,0.0,VN
657,0.0,0.0,VN
658,0.0,0.0,VN
659,0.0,0.0,VN
661,0.0,0.0,VN
662,0.0,0.0,VN
663,0.0,0.0,VN
670,0.0,0.0,VN
672,0.0,0.0,VN
673,0.0,0.0,VN
675,0.0,0.0,VN
676,0.0,0.0,VN
682,0.0,0.0,VN
686,0.0,0.0,VN
689,0.0,0.0,VN
691,0.0,0.0,VN
694,0.0,0.0,VN
695,0.0,0.0,VN
696,0.0,0.0,VN
699,0.0,0.0,VN
701,0.0,0.0,VN
703,0.0,0.0,VN
704,0.0,0.0,VN
707,0.0,0.0,VN
708,0.0,0.0,VN
720,0.0,0.0,VN
723,0.0,0.0,VN
726,0.0,0.0,VN
727,0.0,0.0,VN
728,0.0,0.0,VN
732,0.0,0.0,VN
735,0.0,0.0,VN
736,0.0,0.0,VN
738,0.0,0.0,VN
741,0.0,0.0,VN
750,0.0,0.0,VN
755,0.0,0.0,VN
756,0.0,0.0,VN
760,0.0,0.0,VN
762,0.0,0.0,VN
763,0.0,0.0,VN
764,0.0,0.0,VN
769,0.0,0.0,VN
779,0.0,0.0,VN
781,0.0,0.0,VN
784,0.0,0.0,VN
785,0.0,0.0,VN
787,0.0,0.0,VN
788,0.0,0.0,VN
789,0.0,0.0,VN
793,0.0,0.0,VN
795,0.0,0.0,VN
806,0.0,0.0,VN
807,0.0,0.0,VN
808,0.0,0.0,VN
811,0.0,0.0,VN
814,0.0,0.0,VN
817,0.0,0.0,VN
818,0.0,0.0,VN
820,0.0,0.0,VN
822,0.0,0.0,VN
825,0.0,0.0,VN
829,0.0,0.0,VN
830,0.0,0.0,VN
831,0.0,0.0,VN
832,0.0,0.0,VN
833,0.0,0.0,VN
835,0.0,0.0,VN
837,0.0,0.0,VN
838,0.0,0.0,VN
840,0.0,0.0,VN
844,0.0,0.0,VN
847,0.0,0.0,VN
848,0.0,0.0,VN
849,0.0,0.0,VN
850,0.0,0.0,VN
851,0.0,0.0,VN
852,0.0,0.0,VN
853,0.0,0.0,VN
859,0.0,0.0,VN
861,0.0,0.0,VN
864,0.0,0.0,VN
873,0.0,0.0,VN
875,0.0,0.0,VN
878,0.0,0.0,VN
880,0.0,0.0,VN
881,0.0,0.0,VN
882,0.0,0.0,VN
886,0.0,0.0,VN
890,0.0,0.0,VN
892,0.0,0.0,VN
893,0.0,0.0,VN
894,0.0,0.0,VN
898,0.0,0.0,VN
901,0.0,0.0,VN
902,0.0,0.0,VN
904,0.0,0.0,VN
905,0.0,0.0,VN
910,0.0,0.0,VN
911,0.0,0.0,VN
915,0.0,0.0,VN
916,0.0,0.0,VN
918,0.0,0.0,VN
920,0.0,0.0,VN
933,0.0,0.0,VN
937,0.0,0.0,VN
939,0.0,0.0,VN
940,0.0,0.0,VN
941,0.0,0.0,VN
943,0.0,0.0,VN
944,0.0,0.0,VN
948,0.0,0.0,VN
949,0.0,0.0,VN
958,0.0,0.0,VN
962,0.0,0.0,VN
966,0.0,0.0,VN
967,0.0,0.0,VN
971,0.0,0.0,VN
975,0.0,0.0,VN
976,0.0,0.0,VN
978,0.0,0.0,VN
979,0.0,0.0,VN
987,0.0,0.0,VN
990,0.0,0.0,VN
992,0.0,0.0,VN
995,0.0,0.0,VN
997,0.0,0.0,VN
998,0.0,0.0,VN
1001,0.0,0.0,VN
1007,4.0,4.0,VP
1008,0.0,0.0,VN
1009,0.0,0.0,VN
1011,0.0,0.0,VN
1013,0.0,0.0,VN
1014,0.0,0.0,VN
1019,0.0,0.0,VN
1021,0.0,0.0,VN
1022,0.0,0.0,VN
1025,0.0,0.0,VN
1026,0.0,0.0,VN
1027,0.0,0.0,VN
1030,0.0,0.0,VN
1031,0.0,0.0,VN
1034,0.0,0.0,VN
1036,0.0,0.0,VN
1040,0.0,0.0,VN
1049,0.0,0.0,VN
1054,0.0,0.0,VN
1061,0.0,0.0,VN
1064,0.0,0.0,VN
1067,0.0,0.0,VN
1069,0.0,0.0,VN
1071,0.0,0.0,VN
1075,0.0,0.0,VN
1079,0.0,0.0,VN
1080,0.0,0.0,VN
1083,0.0,0.0,VN
1085,0.0,0.0,VN
1086,0.0,0.0,VN
1089,0.0,0.0,VN
1091,0.0,0.0,VN
1094,0.0,0.0,VN
1097,0.0,0.0,VN
1098,0.0,0.0,VN
1112,0.0,0.0,VN
1116,0.0,0.0,VN
1118,0.0,0.0,VN
1119,0.0,0.0,VN
1129,0.0,0.0,VN
1131,0.0,0.0,VN
1138,0.0,0.0,VN
1144,0.0,0.0,VN
1148,0.0,0.0,VN
1149,0.0,0.0,VN
1164,0.0,0.0,VN
1165,0.0,0.0,VN
1167,0.0,0.0,VN
1172,0.0,0.0,VN
1177,0.0,0.0,VN
1178,0.0,0.0,VN
1179,0.0,0.0,VN
1181,0.0,0.0,VN
1182,0.0,0.0,VN
1183,0.0,0.0,VN
1188,0.0,0.0,VN
1189,0.0,0.0,VN
1191,0.0,0.0,VN
1192,0.0,0.0,VN
1194,0.0,0.0,VN
1198,0.0,0.0,VN
1199,0.0,0.0,VN
1203,0.0,0.0,VN
1204,0.0,0.0,VN
1207,0.0,0.0,VN
1212,0.0,0.0,VN
1213,0.0,0.0,VN
1214,0.0,0.0,VN
1216,0.0,0.0,VN
1217,0.0,0.0,VN
1218,0.0,0.0,VN
1219,0.0,0.0,VN
1222,0.0,0.0,VN
1227,0.0,0.0,VN
1228,0.0,0.0,VN
1229,0.0,0.0,VN
1232,0.0,0.0,VN
1236,0.0,0.0,VN
1237,0.0,0.0,VN
1238,0.0,0.0,VN
1242,0.0,0.0,VN
1244,0.0,0.0,VN
1248,0.0,0.0,VN
1257,0.0,0.0,VN
1259,0.0,0.0,VN
1260,0.0,0.0,VN
1263,0.0,0.0,VN
