Id_Advice,Id_Sample,F1-Score,Accuracy,Number_Conflicts
0,null,67.54966735839844,51.67072677612305,29516
1,1,85.71428680419922,75.9315185546875,29105
2,3,87.64044952392578,78.41278839111328,30491
3,5,87.00565338134766,77.13253784179688,30957
4,7,86.36363983154297,76.90937805175781,29950
5,307,87.00565338134766,77.8074722290039,30212
6,309,87.00565338134766,77.8773193359375,29957
7,310,87.64044952392578,78.66565704345703,29828
8,311,88.26815795898438,79.7321548461914,29913
9,312,88.26815795898438,79.0923843383789,29216
10,314,87.64044952392578,78.01866912841797,30655
11,315,85.71428680419922,75.58737182617188,30595
12,316,88.26815795898438,79.3659896850586,29437
13,318,86.36363983154297,76.00347900390625,30598
14,320,87.64044952392578,78.6935806274414,29993
15,321,86.36363983154297,76.42143249511719,30519
16,322,86.36363983154297,76.76255798339844,29485
17,323,86.36363983154297,76.39910888671875,29754
18,325,87.64044952392578,78.26264953613281,30654
19,619,87.00565338134766,77.5518798828125,29745
20,621,88.26815795898438,79.42963409423828,29816
21,622,86.36363983154297,76.06114959716797,30558
22,623,85.71428680419922,75.37926483154297,30638
23,624,88.26815795898438,79.23939514160156,29764
24,627,86.36363983154297,76.21148681640625,29928
25,628,86.36363983154297,76.25943756103516,30185
26,629,87.64044952392578,78.08324432373047,30313
27,630,87.00565338134766,77.41527557373047,30647
28,326,87.64044952392578,78.7408447265625,29662
29,327,87.64044952392578,78.0618667602539,30095
30,328,87.00565338134766,77.50599670410156,29178
31,403,86.36363983154297,76.77566528320312,29709
32,404,87.00565338134766,77.94882202148438,29853
33,405,85.71428680419922,75.34475708007812,29844
34,406,87.64044952392578,78.30811309814453,30241
35,407,87.64044952392578,78.547119140625,29711
36,408,87.64044952392578,78.49561309814453,29888
37,580,85.71428680419922,75.96044158935547,30593
38,581,87.64044952392578,78.99165344238281,30373
39,582,87.00565338134766,77.12545776367188,30161
40,583,87.64044952392578,78.14698028564453,29742
41,330,87.00565338134766,77.39422607421875,30864
42,331,88.26815795898438,79.20285034179688,29973
43,335,87.64044952392578,78.87098693847656,30014
44,341,87.00565338134766,77.18096160888672,30360
45,379,87.00565338134766,77.75453186035156,29575
46,380,85.0574722290039,74.943359375,31093
47,382,86.36363983154297,76.20927429199219,29344
48,383,87.00565338134766,77.15151977539062,30398
49,386,87.00565338134766,77.70842742919922,30738
50,387,88.88888549804688,80.41017150878906,29748
51,390,87.00565338134766,77.7508316040039,29980
52,391,87.64044952392578,78.52352905273438,29920
53,392,87.00565338134766,77.49946594238281,29621
54,393,87.64044952392578,78.29472351074219,30606
55,394,86.36363983154297,76.00286102294922,30266
56,395,86.36363983154297,76.07247161865234,30095
57,396,85.0574722290039,74.04156494140625,31474
58,398,87.64044952392578,78.75165557861328,30023
59,399,85.0574722290039,74.8845443725586,30752
60,400,87.00565338134766,77.09015655517578,29168
61,401,86.36363983154297,76.97149658203125,29893
62,634,86.36363983154297,76.30571746826172,29890
63,635,86.36363983154297,76.89779663085938,29797
64,636,87.00565338134766,77.76388549804688,30023
65,637,85.71428680419922,75.32836151123047,30569
66,639,87.00565338134766,77.75525665283203,29957
67,640,87.64044952392578,78.26483917236328,30528
68,642,85.71428680419922,75.9756088256836,30452
69,644,87.64044952392578,78.02340698242188,30495
70,648,87.00565338134766,77.86067962646484,30108
71,779,88.26815795898438,79.10843658447266,30117
72,781,87.64044952392578,78.15785217285156,29862
73,783,87.00565338134766,77.1199951171875,30481
74,784,88.26815795898438,79.16077423095703,29382
75,787,86.36363983154297,76.83860778808594,30019
76,791,86.36363983154297,76.3344497680664,29844
77,792,87.64044952392578,78.80010223388672,29864
